Název potraviny;Energie (kJ);Bílkoviny (g);SAFA (g);Tuky (g);Cukry (g);Sacharidy (g);Vláknina (g);Sůl (g);Náhrada (optional)
Leerdammer lightlife 30%;1130;29.5;11.5;17;0;0;0;1.6;Tento sýr můžete nahradit například eidamem nebo sýrem Madeland light. Vhodnější jsou však polotvrdé sýry s 20 % tuku v sušině, například eidam 20% nebo Madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Leerdammer original 45%;1480;27;18.5;27.5;0;0;0;1.5;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Leerdammer uzený 45%;1500;27;18.5;27.5;0;0;0;1.4;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Lipánek plátkový sýr 48%;1441;25;18.2;27;1;1;0;1.3;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Madeland 45%;1449;26;17;27;0;0;0;1.2;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Madeland Fitness 20%;954;31;7.2;11;1.2;1.2;0;1.3;Tento sýr můžete nahradit 20% eidamem. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Madeland light 30%;1193;30;12;18;1;1;0;1.3;Vhodnější jsou sýry s 20 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Madeland uzený 44%;1421;26;17;26;1;1;0;1.2;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Madeta Gouda 48 %;1441;25;18.2;27;1;1;0;1.3;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Milbona cheese mix 45%;1420;25;17.3;25.8;0.3;2.4;0;1;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Moravský bochník 45%;1531;29;18;28;0.3;0.3;0;1;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Pecorino Romano;1660;26;24;33;0;0;0;4.8;Vhodnější jsou sýry s nižším obsahem tuku, např. 20% eidam nebo madeland fitness. Dejte však pozor, abyste nezkonzumovali o to větší množství sýra. Někdy je vhodnější použít do pokrmů menší množství tučnějšího sýra, který je chuťově výraznější.
President Emmental;1530;29;17;28;0;0;0;1;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
President Cheddar plátkový sýr 52%;1725;25;22;35;0;0;0;1.8;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
President L´edam plátkový sýr 47%;1408;26;18;26;0;0;0;1;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Pribina Eidam předsmažený;1218;19;6.3;15;1.5;20;0;2;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Primátor 45%;1557;28;19;29;0;0;0;1;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Šumavský Eidam 20%;968;33.8;6.8;10;1.1;1.4;0;1;Eidam můžete nahradit například sýrem Madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Šumavský Eidam 30%;1050;27.7;10.1;15;1.2;1.2;0;1;Tento sýr můžete nahradit například sýrem Madeland light. Vhodnější jsou však polotvrdé sýry s 20 % tuku v sušině, například eidam 20% nebo Madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Šumavský Eidam 45%;1374;25;17;25.2;1;1;0;1.8;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Šumavský Eidam uzený 45%;1374;25;17;25.2;1;1;0;1.8;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Tesco Eidam 45%;1442;26.5;17.5;26.5;0.5;0.5;0;1.6;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Tesco Eidam uzený 45%;1442;26.5;17.5;26.5;0.5;0.5;0;1.6;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Tesco Gouda 48%;1450;24;19;29;0;0;0;1.9;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Tesco value Eidam 30%;1100;27;11;17;0;0;0;1.7;Tento sýr můžete nahradit například sýrem Madeland light. Vhodnější jsou však polotvrdé sýry s 20 % tuku v sušině, například eidam 20% nebo Madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Tylžský sýr 45%;1428;26;17;26;1.2;1.2;0;2;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Zott Bayerntaler light 30%;1244;34;12.2;18;0;0;0;1;Vhodnější jsou sýry s 20 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Zott Bayerntaler original 45%;1537;28;19.4;28.5;0;0;0;1;Vhodnější jsou polotvrdé sýry s 20 nebo 30 % tuku v sušině, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Brie 50%;1220;18;16.9;24.5;0.4;0.4;0;1.8;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Camembert 30%;900;24;8.7;13;0.4;0.4;0;1.7;Tento sýr můžete nahradit hermelínem 30%, stříbrňákem nebo Sedlčanským hermelínem Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Camembert 45%;1190;21.6;14.9;22;0.3;0.3;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Camembert 50%;1220;18;16.9;24.5;0.4;0.4;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Gorgonzola 48%;1270;18.7;18.7;25.7;0;0;0;2.5;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Hermelín 30%;900;24;8.8;13;0;0;0;1.7;Tento sýr můžete nahradit camembertem 30%, stříbrňákem nebo Sedlčanským hermelínem Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Hermelín 45%;1250;20;15.5;23;1;1;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Hermelín 60%;1500;17;21.6;32;0;0;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Niva 50%;1400;20;18.9;28;1;1;0;4;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Roquefort 50%;1520;20;20.9;31;0;0;0;3.2;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například hermelín 30%, camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Bluedino Camembert 43%;1235;21;15;23;0;1.6;0;2.2;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Boni Camembert 45%;1163;20;14;22;0;0;0;1.78;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Boni Camembert 60%;1475;17;20.4;32;0.2;0.2;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Brie de France 60 %;1528;17;22;33;1;1;0;1.6;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Brie Reverend 60%;1490;18;20.9;31;0.5;0.5;0;1.38;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Caesar Blue 50%;1457;22;19.6;29;0.6;0.6;0;3.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Jihočeská Niva 50%;1457;22;19;29;0.6;0.6;0;3.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Jihočeská Zlatá Niva 60%;1591;19;22;34;0.6;0.6;0;3.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Kamadet královský sýr 48%;1375;21;18.2;27;1.1;1.1;0;2;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Karlova koruna Sýr s modrou plísní 50%;1410;19.5;19;28.8;1.2;1.2;0;4.5;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
K-Classic Camembert 52 %;1213;18;17;24;1.1;1.1;0;4.75;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Kozí sýr s bílou plísní 45%;1260;20;16.2;24;1.6;1.6;0;1.8;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Král sýrů Hermadur 60%;1520;17;22;32;0;1.7;0;1.3;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například hermelín 30%, camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Král sýrů Hermelín 55%;1390;20;18.9;28;0.5;0.5;0;1.6;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Král sýrů Hermelín předsmažený;1410;19;16.2;24;0.6;11;0;2;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Král sýrů Charakter 50%;1237;19;17;24;1.5;1.5;0;1.3;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Král sýrů krémový;1391;17;20;29;1.7;1.7;0;1.6;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Král sýrů Nebeský;1408;16;21;30;1.5;1.5;0;1.4;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Niva extra Olma;1460;21.3;19.5;29;1.5;1.5;0;3.3;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Plesnivec 43%;1086;21;12.2;18;1.9;3.1;0;2.4;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Plesnivec se zlatou kůrkou 60%;1408;17;20.3;30;0.5;0.5;0;2;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Président Brie 60%;1480;17;21.6;32;0.2;0.2;0;1.2;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Président Camembert 60%;1476;17;20.9;32;0.2;0.2;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například hermelín 30%, camembert linea, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Président Camembert linea 26%;821;22;9.5;12;0.2;0.2;0;1.45;Tento sýr můžete nahradit hermelínem 30%, camembertem 30% nebo stříbrňákem. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Président Karel IV. 60%;1480;17;21.6;32;0.2;0.2;0;1.5;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například hermelín 30%, camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Rival 48%;1274;19;14;25;0.1;1.5;0;2.8;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský hermelín Figura 40%;982;21.1;11.1;16.5;0.5;0.8;0.5;1.7;Tento sýr můžete nahradit hermelínem 30%, camembertem 30% nebo stříbrňákem. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský hermelín lesní česnek;1310;18;17.6;26;0.5;0.5;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský hermelín na gril;1294;19;17.6;26;0.5;0.5;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například hermelín 30%, camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský hermelín pikantní;1294;19;13;26;0;0;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský hermelín původní český;1250;19;16.9;25;0.1;0.1;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský hermelín sušená rajčata s bazalkou;1315;20.2;17.7;26.2;0.1;0.1;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský hermelín v křupavé strouhance;1233;16;13.5;20;0.7;13;0;1.4;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský Modřenín 56%;1479;18.5;22;31;1;1;0;2.5;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský Ohnivák na gril;1294;19;17.6;26;0.5;0.5;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například hermelín 30%, camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský Smetanový hermelín 60%;1387;15.5;20.6;30.1;0.3;0.6;0;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský Troubelín k pečení;1262;19;15;25;0;0.8;0;1.6;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například hermelín 30%, camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský Vltavín 56%;1516;19;15;32;0;0;1.1;1.8;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například hermelín 30%, camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Sedlčanský Zlatý Pepin 50%;1214;18.8;16.8;23.9;0.3;0.6;0.6;1.7;Vhodnější jsou plísňové sýry s 30 % tuku v sušině, například camembert 30%, stříbrňák nebo Sedlčanský hermelín Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
Stříbrňák 30%;850;25;8.1;12;0;0;0;1.7;Tento sýr můžete nahradit hermelínem 30%, camembertem 30% nebo Sedlčanským hermelínem Figura. Vhodnější jsou však polotvrdé sýry s nižším obsahem tuku, například eidam 20% nebo madeland fitness. Z jiných sýrů je vhodný například cottage nebo olomoucké tvarůžky, které obsahují ještě výrazně méně tuku.
